y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
0.734375,0.70625,0.7375,0.721875,0.715625,0.71875,2.096875,0.76875,0.75625,0.9,0.78125,0.728125,0.6875,1.771875,7.8375,3.45625,1.278125,2.946875,0.721875,5.171875,1.184375,2.55,1.35,0.784375,5.278125,1.178125
0.75,0.728125,0.703125,0.75,0.7125,0.78125,0.734375,0.70625,0.7875,0.94375,0.771875,0.6875,0.728125,1.525,5.68125,3.70625,2.1,1.80625,0.771875,5.128125,0.76875,2.73125,1.171875,0.734375,5.575,1.603125
0.79375,0.721875,0.75625,0.74375,0.69375,0.746875,0.721875,0.815625,0.790625,0.99375,0.80625,0.784375,1.66875,0.91875,5.09375,3.1125,1.559375,2.5,2.209375,6.2375,0.74375,3.7625,1.51875,0.746875,4.575,2.453125
0.771875,0.74375,0.73125,0.734375,0.69375,0.80625,0.7625,0.7625,0.8,0.99375,0.771875,0.7125,0.771875,0.934375,5.76875,4.703125,3.05625,3.096875,0.78125,7.215625,0.759375,6.325,1.521875,0.778125,6.01875,3.41875
0.7625,0.784375,0.71875,0.746875,0.734375,0.740625,0.803125,0.728125,0.778125,1.084375,0.8875,0.746875,0.73125,2.378125,5.61875,4.865625,3.79375,3.396875,0.734375,7.065625,1.515625,7.45,2.3625,0.7375,5.6875,1.875
0.771875,0.75,0.728125,0.76875,0.7375,0.728125,0.725,0.709375,0.765625,0.859375,0.75,0.80625,0.775,1.45625,5.296875,4.546875,3.915625,4.615625,0.75,11.234375,1.56875,9.53125,2.259375,0.7875,6.478125,3.9125
0.7375,0.7375,0.7375,0.734375,0.725,0.746875,0.73125,0.703125,0.86875,0.91875,0.746875,0.721875,0.734375,1.2625,5.196875,6.4125,8.18125,4.6125,0.8,7.98125,1.459375,10.31875,1.775,0.76875,7.11875,6.53125
0.76875,0.7125,0.71875,0.828125,0.746875,0.753125,0.70625,0.809375,0.778125,1.040625,0.775,0.725,0.746875,1.859375,8.240625,5.475,6.4125,4.81875,0.75625,9.14375,1.8875,9.971875,4.09375,0.771875,10.2375,2.99375
0.790625,0.690625,0.74375,0.740625,0.74375,0.746875,0.75,0.725,0.775,1.134375,0.778125,0.784375,0.8625,2.9125,8.090625,6.078125,7.765625,7.296875,0.76875,7.9875,1.928125,8.71875,3.08125,0.765625,6.0,4.628125
0.75625,0.71875,0.771875,0.775,0.7125,0.734375,0.715625,0.784375,2.340625,1.2625,0.759375,0.721875,0.71875,3.29375,6.071875,7.0,15.984375,6.35625,0.834375,8.665625,2.784375,10.05,5.553125,0.796875,5.628125,6.05625
0.79375,0.784375,0.721875,0.75625,0.690625,0.74375,0.703125,0.984375,0.79375,1.128125,1.5625,0.74375,1.253125,1.24375,7.76875,8.046875,7.44375,9.109375,0.784375,10.953125,2.365625,13.725,3.95,0.7875,6.23125,6.559375
0.7125,0.73125,0.771875,0.775,0.78125,0.7625,0.740625,0.746875,1.14375,1.11875,0.753125,1.021875,1.421875,2.334375,7.584375,6.7,8.35,9.878125,1.078125,7.709375,4.08125,9.125,4.609375,1.65,6.73125,6.728125
0.7625,0.7625,0.94375,0.753125,0.7,0.759375,0.740625,0.71875,0.759375,1.10625,0.740625,1.975,1.534375,1.990625,11.46875,9.146875,11.025,11.6375,1.190625,9.64375,3.615625,10.34375,4.021875,1.953125,5.753125,5.65
0.790625,0.7375,0.721875,0.771875,0.7125,0.7625,0.778125,0.8,0.83125,1.24375,0.771875,0.746875,1.0125,1.9625,7.503125,10.759375,9.25,7.2875,3.659375,11.2625,5.0125,11.140625,8.08125,4.125,6.134375,5.640625
0.75625,0.790625,0.740625,0.778125,0.7375,0.725,0.715625,0.7,0.765625,1.7,0.73125,0.971875,2.075,2.028125,7.409375,6.775,9.621875,8.946875,2.4875,9.371875,4.64375,8.8375,5.109375,1.85625,4.95,4.96875
0.78125,0.7625,0.796875,0.79375,0.75625,0.728125,0.73125,0.728125,0.771875,2.1,0.7875,0.803125,1.309375,1.5375,11.4125,11.06875,12.046875,9.284375,1.79375,9.959375,4.221875,17.896875,7.896875,3.021875,6.403125,7.3375
0.796875,0.78125,0.796875,0.75,0.696875,0.740625,0.7125,0.71875,0.86875,2.496875,0.796875,2.096875,3.70625,2.834375,8.0375,9.85625,20.675,11.075,3.13125,10.3875,4.275,16.6,8.0375,3.353125,6.003125,7.69375
0.821875,0.765625,0.78125,0.796875,0.75,0.79375,0.75625,0.725,0.796875,3.3625,0.775,0.85625,3.834375,3.784375,8.415625,6.703125,7.940625,9.265625,3.178125,10.546875,7.571875,11.715625,5.675,2.834375,8.271875,7.540625
