y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74
0.365625,0.4125,0.3625,0.34375,0.5,0.315625,0.340625,0.328125,0.33125,0.3625,0.325,0.328125,0.409375,0.396875,0.353125,0.475,0.38125,0.33125,0.378125,0.34375,0.44375,0.35625,0.45625,0.334375,0.415625,0.3375,0.325,0.421875,0.334375,0.378125,0.5125,0.484375,0.36875,0.309375,0.44375,0.403125,0.328125,0.328125,0.584375,0.478125,0.40625,0.428125,0.3625,0.378125,0.365625,0.3625,0.353125,0.396875,0.521875,0.484375,0.35,0.33125,0.334375,0.39375,0.425,0.38125,0.459375,0.4,0.45,0.4375,0.45,0.384375,0.39375,0.51875,0.321875,0.55,0.346875,0.346875,0.35625,0.403125,0.35,0.328125,0.48125,0.4375,0.328125
0.378125,0.415625,0.353125,0.459375,0.425,0.371875,0.415625,0.36875,0.321875,0.371875,0.36875,0.34375,0.478125,0.39375,0.34375,0.33125,0.4,0.378125,0.35,0.3625,0.346875,0.41875,0.58125,0.503125,0.478125,0.403125,0.375,0.39375,0.40625,0.428125,0.49375,0.490625,0.378125,0.3375,0.36875,0.453125,0.33125,0.340625,0.609375,0.328125,0.3125,0.346875,0.38125,0.36875,0.328125,0.3875,0.3875,0.38125,0.353125,0.834375,0.4125,0.35,0.34375,0.484375,0.3875,0.5125,0.428125,0.640625,0.54375,0.440625,0.371875,0.3875,0.409375,0.51875,0.334375,0.45,0.36875,0.328125,0.5,0.3875,0.3625,0.346875,0.55625,0.38125,0.41875
0.325,0.509375,0.4125,0.45,0.425,0.290625,0.35625,0.3625,0.334375,0.384375,0.384375,0.3375,0.571875,0.53125,0.3875,0.3125,0.403125,0.35625,0.375,0.353125,0.359375,0.40625,0.5375,0.34375,0.534375,0.421875,0.321875,0.378125,0.378125,0.3625,0.434375,0.4125,0.39375,0.45,0.403125,0.471875,0.353125,0.35,0.684375,0.5,0.34375,0.390625,0.39375,0.34375,0.425,0.559375,0.359375,0.475,0.46875,0.378125,0.346875,0.35625,0.390625,0.609375,0.40625,0.365625,0.528125,0.68125,0.575,0.54375,0.50625,0.584375,0.465625,0.484375,0.553125,0.60625,0.50625,0.353125,0.521875,0.440625,0.4,0.378125,0.371875,0.403125,0.365625
0.409375,0.503125,0.36875,0.503125,0.40625,0.35625,0.521875,0.33125,0.34375,0.428125,0.3625,0.35625,0.584375,0.515625,0.415625,0.321875,0.390625,0.3625,0.3875,0.384375,0.40625,0.4875,0.603125,0.33125,0.540625,0.390625,0.440625,0.4625,0.409375,0.45625,0.540625,0.5125,0.496875,0.325,0.471875,0.390625,0.35625,0.346875,0.65,0.36875,0.33125,0.4375,0.4125,0.39375,0.48125,0.54375,0.5125,0.44375,0.4375,0.49375,0.390625,0.3625,0.446875,0.578125,0.4875,0.45,0.415625,0.615625,0.490625,0.65,0.38125,0.515625,0.6875,0.496875,0.553125,0.484375,0.49375,0.403125,0.4375,0.4375,0.45,0.3625,0.35625,0.378125,0.409375
0.346875,0.615625,0.3875,0.484375,0.46875,0.3625,0.425,0.375,0.3875,0.390625,0.6375,0.390625,0.6875,0.509375,0.3625,0.375,0.421875,0.3375,0.459375,0.39375,0.496875,0.4125,0.53125,0.375,0.496875,0.39375,0.4125,0.409375,0.409375,0.396875,0.471875,0.45,0.546875,0.41875,0.521875,0.465625,0.34375,0.55,0.65,0.44375,0.69375,0.4125,0.434375,0.371875,0.421875,0.625,0.625,0.440625,0.4625,0.45,0.35,0.34375,0.45,0.540625,0.640625,0.509375,0.684375,0.54375,0.45625,0.65,0.396875,0.4875,0.565625,0.51875,0.5375,0.628125,0.434375,0.415625,0.3875,0.61875,0.415625,0.334375,0.409375,0.4625,0.346875
0.3875,0.521875,0.3625,0.5125,0.421875,0.384375,0.50625,0.428125,0.371875,0.46875,0.38125,0.390625,0.64375,0.503125,0.378125,0.353125,0.5125,0.453125,0.4,0.384375,0.44375,0.471875,0.640625,0.484375,0.596875,0.525,0.346875,0.39375,0.478125,0.409375,0.48125,0.5625,0.4625,0.41875,0.453125,0.403125,0.371875,0.465625,0.68125,0.54375,0.35625,0.440625,0.584375,0.421875,0.4,0.56875,0.528125,0.678125,0.46875,0.496875,0.49375,0.4875,0.50625,0.634375,0.434375,0.5375,0.50625,0.525,0.46875,0.5375,0.353125,0.546875,0.521875,0.63125,0.534375,0.65625,0.390625,0.471875,0.496875,0.55,0.525,0.496875,0.503125,0.521875,0.375
0.3875,0.6,0.475,0.6125,0.503125,0.365625,0.521875,0.421875,0.4375,0.446875,0.490625,0.38125,0.6625,0.45,0.378125,0.4125,0.440625,0.51875,0.446875,0.4125,0.44375,0.553125,0.665625,0.39375,0.64375,0.46875,0.378125,0.496875,0.56875,0.421875,0.859375,0.403125,0.56875,0.459375,0.5625,0.7875,0.390625,0.671875,0.659375,0.51875,0.403125,0.515625,0.428125,0.421875,0.4625,0.678125,0.534375,0.6125,0.553125,0.55,0.503125,0.390625,0.425,0.6625,0.465625,0.603125,0.746875,0.8375,0.625,0.65625,0.390625,0.653125,0.525,0.6625,0.49375,0.63125,0.4125,0.434375,0.584375,0.671875,0.434375,0.5375,0.5125,0.4875,0.384375
0.425,0.571875,0.371875,0.4625,0.421875,0.365625,0.5,0.34375,0.384375,0.4625,0.521875,0.45625,0.640625,0.409375,0.4,0.540625,0.5,0.446875,0.428125,0.421875,0.453125,0.596875,0.7125,0.396875,0.60625,0.5125,0.475,0.484375,0.459375,0.403125,0.49375,0.496875,0.478125,0.346875,0.540625,0.471875,0.378125,0.45625,0.675,0.696875,0.371875,0.475,0.48125,0.503125,0.390625,0.621875,0.5375,0.840625,0.6,0.85625,0.459375,0.515625,0.44375,0.6375,0.5625,0.525,0.509375,0.68125,0.6,0.75,0.409375,0.69375,0.440625,0.6125,0.6875,0.65,0.415625,0.54375,0.50625,0.6,0.66875,0.4375,0.60625,0.515625,0.390625
0.484375,0.53125,0.471875,0.4125,0.4625,0.384375,0.44375,0.375,0.359375,0.5375,0.675,0.578125,0.653125,0.46875,0.43125,0.396875,0.478125,0.515625,0.490625,0.390625,0.478125,0.771875,0.640625,0.40625,0.6125,0.525,0.353125,0.5375,0.55625,0.490625,0.58125,0.48125,0.534375,0.38125,0.61875,0.496875,0.38125,0.559375,0.68125,0.775,0.43125,0.49375,0.528125,0.45,0.403125,0.646875,0.58125,0.628125,0.621875,1.559375,0.478125,0.475,0.59375,0.678125,0.54375,0.5625,0.603125,0.875,0.6125,0.7125,0.39375,0.684375,0.590625,0.615625,0.553125,0.76875,0.4875,0.60625,0.628125,0.528125,0.7875,0.4,0.60625,0.665625,0.384375
0.4875,0.5625,0.48125,0.446875,0.44375,0.4375,0.521875,0.353125,0.41875,0.503125,0.6125,0.453125,0.6625,0.4375,0.415625,0.4,0.603125,0.465625,0.5375,0.39375,0.515625,0.640625,0.68125,0.425,0.834375,0.5875,0.403125,0.528125,0.59375,0.53125,0.509375,0.55,0.503125,0.434375,0.646875,0.471875,0.409375,0.534375,0.71875,0.759375,0.590625,0.6125,0.565625,0.45625,0.4625,0.63125,0.615625,0.63125,0.6,1.259375,0.51875,0.509375,0.5625,0.615625,0.678125,0.553125,0.58125,0.828125,0.646875,0.715625,0.421875,0.64375,0.5875,0.675,0.753125,1.684375,0.85,0.4625,0.65625,0.590625,0.63125,0.446875,0.6875,0.540625,0.375
